Date,Beds,Unit,SqFt,Price
2015-03-25T22:12:19.475171,2,909,855,4065
2015-03-25T22:12:19.475171,2,911,946,4125
2015-03-25T22:12:19.475171,2,1601,950,4756
2015-03-25T22:12:19.475171,2,401,950,4216
2015-03-25T22:12:19.475171,2,501,950,4401
2015-03-25T22:12:19.475171,2,601,950,4281
2015-03-25T22:12:19.475171,2,515,986,4610
2015-03-25T22:12:19.475171,2,407,986,4480
2015-03-25T22:12:19.475171,2,1405,1195,4705
2015-03-25T22:12:19.475171,2,713,1195,4755
2015-03-25T22:12:19.475171,2,1702,1195,5310
2015-03-25T22:12:19.475171,2,302,1138,4334
2015-03-25T22:12:19.475171,2,1116,1104,4594
2015-03-25T22:12:19.475171,2,502,1104,4589
2015-03-25T22:12:19.475171,0,306,528,3060
2015-03-25T22:12:19.475171,0,612,587,2965
2015-03-25T22:12:19.475171,0,1012,587,3280
2015-03-25T22:12:19.475171,0,712,587,3270
2015-03-26T08:37:18.393214,1,1707,690,3514
2015-03-26T08:37:18.393214,1,512,636,3194
2015-03-26T08:37:18.393214,1,1604,750,3530
2015-03-26T08:37:18.393214,1,1415,716,3415
2015-03-26T08:37:18.393214,1,313,716,3132
2015-03-26T08:37:18.393214,1,513,716,3302
2015-03-26T08:37:18.393214,1,508,716,3327
2015-03-26T08:37:18.393214,2,1704,855,4525
2015-03-26T08:37:18.393214,2,809,855,3935
2015-03-26T08:37:18.393214,2,607,855,3935
2015-03-26T08:37:18.393214,2,909,855,4010
2015-03-26T08:37:18.393214,2,911,946,4065
2015-03-26T08:37:18.393214,2,1601,950,4696
2015-03-26T08:37:18.393214,2,401,950,4161
2015-03-26T08:37:18.393214,2,501,950,4341
2015-03-26T08:37:18.393214,2,601,950,4226
2015-03-26T08:37:18.393214,2,515,986,4555
2015-03-26T08:37:18.393214,2,407,986,4425
2015-03-26T08:37:18.393214,2,1405,1195,4645
2015-03-26T08:37:18.393214,2,713,1195,4695
2015-03-26T08:37:18.393214,2,1702,1195,5255
2015-03-26T08:37:18.393214,2,302,1138,4274
2015-03-26T08:37:18.393214,2,1116,1104,4534
2015-03-26T08:37:18.393214,2,502,1104,4534
2015-03-26T08:37:18.393214,0,306,528,2990
2015-03-26T08:37:18.393214,0,612,587,2900
2015-03-26T08:37:18.393214,0,1012,587,3205
2015-03-26T08:37:18.393214,0,712,587,3200
2015-03-27T01:35:37.824640,1,1707,690,3514
2015-03-27T01:35:37.824640,1,512,636,3194
2015-03-27T01:35:37.824640,1,1604,750,3530
2015-03-27T01:35:37.824640,1,1415,716,3415
2015-03-27T01:35:37.824640,1,313,716,3132
2015-03-27T01:35:37.824640,1,513,716,3302
2015-03-27T01:35:37.824640,1,508,716,3327
2015-03-27T01:35:37.824640,2,1704,855,4525
2015-03-27T01:35:37.824640,2,809,855,3935
2015-03-27T01:35:37.824640,2,607,855,3935
2015-03-27T01:35:37.824640,2,909,855,4010
2015-03-27T01:35:37.824640,2,911,946,4065
2015-03-27T01:35:37.824640,2,1601,950,4696
2015-03-27T01:35:37.824640,2,401,950,4161
2015-03-27T01:35:37.824640,2,501,950,4341
2015-03-27T01:35:37.824640,2,601,950,4226
2015-03-27T01:35:37.824640,2,515,986,4555
2015-03-27T01:35:37.824640,2,407,986,4425
2015-03-27T01:35:37.824640,2,1405,1195,4645
2015-03-27T01:35:37.824640,2,713,1195,4695
2015-03-27T01:35:37.824640,2,1702,1195,5255
2015-03-27T01:35:37.824640,2,302,1138,4274
2015-03-27T01:35:37.824640,2,1116,1104,4534
2015-03-27T01:35:37.824640,2,502,1104,4534
2015-03-27T01:35:37.824640,0,306,528,2990
2015-03-27T01:35:37.824640,0,612,587,2900
2015-03-27T01:35:37.824640,0,1012,587,3205
2015-03-27T01:35:37.824640,0,712,587,3200
2015-03-27T22:45:16.232996,1,1707,690,3504
2015-03-27T22:45:16.232996,1,512,636,3194
2015-03-27T22:45:16.232996,1,1604,750,3520
2015-03-27T22:45:16.232996,1,1415,716,3405
2015-03-27T22:45:16.232996,1,313,716,3122
2015-03-27T22:45:16.232996,1,513,716,3297
2015-03-27T22:45:16.232996,1,508,716,3322
2015-03-27T22:45:16.232996,2,1704,855,4515
2015-03-27T22:45:16.232996,2,809,855,3920
2015-03-27T22:45:16.232996,2,607,855,3920
2015-03-27T22:45:16.232996,2,909,855,4000
2015-03-27T22:45:16.232996,2,911,946,4050
2015-03-27T22:45:16.232996,2,1601,950,4686
2015-03-27T22:45:16.232996,2,401,950,4141
2015-03-27T22:45:16.232996,2,501,950,4326
2015-03-27T22:45:16.232996,2,601,950,4211
2015-03-27T22:45:16.232996,2,515,986,4540
2015-03-27T22:45:16.232996,2,407,986,4415
2015-03-27T22:45:16.232996,2,1405,1195,4635
2015-03-27T22:45:16.232996,2,713,1195,4685
2015-03-27T22:45:16.232996,2,1702,1195,5240
2015-03-27T22:45:16.232996,2,302,1138,4264
2015-03-27T22:45:16.232996,2,1116,1104,4524
2015-03-27T22:45:16.232996,2,502,1104,4519
2015-03-27T22:45:16.232996,0,306,528,2980
2015-03-27T22:45:16.232996,0,1012,587,3205
2015-03-27T22:45:16.232996,0,712,587,3195
2015-03-28T20:44:29.588630,1,1707,690,3504
2015-03-28T20:44:29.588630,1,512,636,3194
2015-03-28T20:44:29.588630,1,1604,750,3520
2015-03-28T20:44:29.588630,1,513,716,3322
2015-03-28T20:44:29.588630,1,508,716,3337
2015-03-28T20:44:29.588630,2,1704,855,4510
2015-03-28T20:44:29.588630,2,809,855,3915
2015-03-28T20:44:29.588630,2,607,855,3915
2015-03-28T20:44:29.588630,2,909,855,3995
2015-03-28T20:44:29.588630,2,911,946,4045
2015-03-28T20:44:29.588630,2,1601,950,4681
2015-03-28T20:44:29.588630,2,401,950,4136
2015-03-28T20:44:29.588630,2,501,950,4321
2015-03-28T20:44:29.588630,2,601,950,4206
2015-03-28T20:44:29.588630,2,515,986,4535
2015-03-28T20:44:29.588630,2,407,986,4410
2015-03-28T20:44:29.588630,2,1405,1195,4630
2015-03-28T20:44:29.588630,2,713,1195,4680
2015-03-28T20:44:29.588630,2,1702,1195,5235
2015-03-28T20:44:29.588630,2,302,1138,4259
2015-03-28T20:44:29.588630,2,1116,1104,4519
2015-03-28T20:44:29.588630,2,502,1104,4514
2015-03-28T20:44:29.588630,0,306,528,2955
2015-03-28T20:44:29.588630,0,516,528,3185
2015-03-28T20:44:29.588630,0,1012,587,3215
2015-03-28T20:44:29.588630,0,712,587,3200
2015-03-29T13:09:11.754583,1,1707,690,3519
2015-03-29T13:09:11.754583,1,512,636,3209
2015-03-29T13:09:11.754583,1,1604,750,3535
2015-03-29T13:09:11.754583,1,513,716,3332
2015-03-29T13:09:11.754583,1,508,716,3352
2015-03-29T13:09:11.754583,2,1704,855,4535
2015-03-29T13:09:11.754583,2,607,855,3950
2015-03-29T13:09:11.754583,2,909,855,4015
2015-03-29T13:09:11.754583,2,911,946,4085
2015-03-29T13:09:11.754583,2,1601,950,4706
2015-03-29T13:09:11.754583,2,401,950,4176
2015-03-29T13:09:11.754583,2,501,950,4361
2015-03-29T13:09:11.754583,2,601,950,4241
2015-03-29T13:09:11.754583,2,515,986,4570
2015-03-29T13:09:11.754583,2,407,986,4435
2015-03-29T13:09:11.754583,2,1405,1195,4655
2015-03-29T13:09:11.754583,2,713,1195,4705
2015-03-29T13:09:11.754583,2,1702,1195,5270
2015-03-29T13:09:11.754583,2,302,1138,4284
2015-03-29T13:09:11.754583,2,1116,1104,4554
2015-03-29T13:09:11.754583,2,502,1104,4549
2015-03-29T13:09:11.754583,0,306,528,2965
2015-03-29T13:09:11.754583,0,516,528,3200
2015-03-29T13:09:11.754583,0,612,587,2905
2015-03-29T13:09:11.754583,0,1012,587,3230
2015-03-29T13:09:11.754583,0,712,587,3215
2015-03-29T22:28:56.454745,1,1707,690,3519
2015-03-29T22:28:56.454745,1,512,636,3209
2015-03-29T22:28:56.454745,1,1604,750,3535
2015-03-29T22:28:56.454745,1,513,716,3332
2015-03-29T22:28:56.454745,1,508,716,3352
2015-03-29T22:28:56.454745,2,1704,855,4535
2015-03-29T22:28:56.454745,2,607,855,3950
2015-03-29T22:28:56.454745,2,909,855,4015
2015-03-29T22:28:56.454745,2,911,946,4085
2015-03-29T22:28:56.454745,2,1601,950,4706
2015-03-29T22:28:56.454745,2,401,950,4176
2015-03-29T22:28:56.454745,2,501,950,4361
2015-03-29T22:28:56.454745,2,601,950,4241
2015-03-29T22:28:56.454745,2,515,986,4570
2015-03-29T22:28:56.454745,2,407,986,4435
2015-03-29T22:28:56.454745,2,1405,1195,4655
2015-03-29T22:28:56.454745,2,713,1195,4705
2015-03-29T22:28:56.454745,2,1702,1195,5270
2015-03-29T22:28:56.454745,2,302,1138,4284
2015-03-29T22:28:56.454745,2,1116,1104,4554
2015-03-29T22:28:56.454745,2,502,1104,4549
2015-03-29T22:28:56.454745,0,306,528,2965
2015-03-29T22:28:56.454745,0,516,528,3200
2015-03-29T22:28:56.454745,0,612,587,2905
2015-03-29T22:28:56.454745,0,1012,587,3230
2015-03-29T22:28:56.454745,0,712,587,3215
2015-03-30T11:43:17.302436,1,1707,690,3574
2015-03-30T11:43:17.302436,1,512,636,3209
2015-03-30T11:43:17.302436,1,1604,750,3545
2015-03-30T11:43:17.302436,1,513,716,3347
2015-03-30T11:43:17.302436,1,508,716,3352
2015-03-30T11:43:17.302436,2,1704,855,4545
2015-03-30T11:43:17.302436,2,607,855,3965
2015-03-30T11:43:17.302436,2,909,855,4035
2015-03-30T11:43:17.302436,2,911,946,4100
2015-03-30T11:43:17.302436,2,1601,950,4716
2015-03-30T11:43:17.302436,2,401,950,4201
2015-03-30T11:43:17.302436,2,501,950,4376
2015-03-30T11:43:17.302436,2,601,950,4256
2015-03-30T11:43:17.302436,2,515,986,4585
2015-03-30T11:43:17.302436,2,407,986,4455
2015-03-30T11:43:17.302436,2,1405,1195,4665
2015-03-30T11:43:17.302436,2,713,1195,4715
2015-03-30T11:43:17.302436,2,1702,1195,5285
2015-03-30T11:43:17.302436,2,302,1138,4294
2015-03-30T11:43:17.302436,2,1116,1104,4569
2015-03-30T11:43:17.302436,2,502,1104,4564
2015-03-30T11:43:17.302436,0,306,528,3015
2015-03-30T11:43:17.302436,0,516,528,3210
2015-03-30T11:43:17.302436,0,612,587,2955
2015-03-30T11:43:17.302436,0,1012,587,3230
2015-03-30T11:43:17.302436,0,712,587,3210
2015-03-31T00:17:13.699597,1,1707,690,3574
2015-03-31T00:17:13.699597,1,512,636,3209
2015-03-31T00:17:13.699597,1,1604,750,3545
2015-03-31T00:17:13.699597,1,513,716,3347
2015-03-31T00:17:13.699597,1,508,716,3352
2015-03-31T00:17:13.699597,2,1704,855,4545
2015-03-31T00:17:13.699597,2,607,855,3965
2015-03-31T00:17:13.699597,2,909,855,4035
2015-03-31T00:17:13.699597,2,911,946,4100
2015-03-31T00:17:13.699597,2,1601,950,4716
2015-03-31T00:17:13.699597,2,401,950,4201
2015-03-31T00:17:13.699597,2,501,950,4376
2015-03-31T00:17:13.699597,2,601,950,4256
2015-03-31T00:17:13.699597,2,515,986,4585
2015-03-31T00:17:13.699597,2,407,986,4455
2015-03-31T00:17:13.699597,2,1405,1195,4665
2015-03-31T00:17:13.699597,2,713,1195,4715
2015-03-31T00:17:13.699597,2,1702,1195,5285
2015-03-31T00:17:13.699597,2,302,1138,4294
2015-03-31T00:17:13.699597,2,1116,1104,4569
2015-03-31T00:17:13.699597,2,502,1104,4564
2015-03-31T00:17:13.699597,0,306,528,3015
2015-03-31T00:17:13.699597,0,516,528,3210
2015-03-31T00:17:13.699597,0,612,587,2955
2015-03-31T00:17:13.699597,0,1012,587,3230
2015-03-31T00:17:13.699597,0,712,587,3210
2015-04-01T00:31:52.061172,1,512,636,3199
2015-04-01T00:31:52.061172,1,1604,750,3615
2015-04-01T00:31:52.061172,1,209,750,3400
2015-04-01T00:31:52.061172,1,513,716,3357
2015-04-01T00:31:52.061172,2,1704,855,4560
2015-04-01T00:31:52.061172,2,607,855,3950
2015-04-01T00:31:52.061172,2,911,946,4100
2015-04-01T00:31:52.061172,2,1601,950,4731
2015-04-01T00:31:52.061172,2,401,950,4211
2015-04-01T00:31:52.061172,2,501,950,4376
2015-04-01T00:31:52.061172,2,601,950,4246
2015-04-01T00:31:52.061172,2,515,986,4575
2015-04-01T00:31:52.061172,2,407,986,4445
2015-04-01T00:31:52.061172,2,1405,1195,4680
2015-04-01T00:31:52.061172,2,713,1195,4730
2015-04-01T00:31:52.061172,2,1702,1195,5275
2015-04-01T00:31:52.061172,2,1116,1104,4584
2015-04-01T00:31:52.061172,2,502,1104,4554
2015-04-01T00:31:52.061172,0,306,528,3085
2015-04-01T00:31:52.061172,0,516,528,3220
2015-04-01T00:31:52.061172,0,612,587,3025
2015-04-01T00:31:52.061172,0,1012,587,3225
2015-04-01T00:31:52.061172,0,712,587,3205
2015-04-02T01:18:03.309868,1,512,636,3194
2015-04-02T01:18:03.309868,1,1604,750,3655
2015-04-02T01:18:03.309868,1,209,750,3505
2015-04-02T01:18:03.309868,1,513,716,3432
2015-04-02T01:18:03.309868,2,1704,855,4600
2015-04-02T01:18:03.309868,2,911,946,4140
2015-04-02T01:18:03.309868,2,1601,950,4771
2015-04-02T01:18:03.309868,2,401,950,4251
2015-04-02T01:18:03.309868,2,501,950,4416
2015-04-02T01:18:03.309868,2,601,950,4286
2015-04-02T01:18:03.309868,2,515,986,4615
2015-04-02T01:18:03.309868,2,407,986,4470
2015-04-02T01:18:03.309868,2,1405,1195,4720
2015-04-02T01:18:03.309868,2,713,1195,4770
2015-04-02T01:18:03.309868,2,1702,1195,5315
2015-04-02T01:18:03.309868,2,1116,1104,4624
2015-04-02T01:18:03.309868,2,502,1104,4594
2015-04-02T01:18:03.309868,0,306,528,3125
2015-04-02T01:18:03.309868,0,516,528,3290
2015-04-02T01:18:03.309868,0,612,587,3065
2015-04-02T01:18:03.309868,0,1012,587,3325
2015-04-02T01:18:03.309868,0,712,587,3235
2015-04-02T09:34:37.868564,1,512,636,3289
2015-04-02T09:34:37.868564,1,1604,750,3735
2015-04-02T09:34:37.868564,1,513,716,3517
2015-04-02T09:34:37.868564,2,1704,855,4500
2015-04-02T09:34:37.868564,2,911,946,4040
2015-04-02T09:34:37.868564,2,1601,950,4671
2015-04-02T09:34:37.868564,2,401,950,4146
2015-04-02T09:34:37.868564,2,501,950,4316
2015-04-02T09:34:37.868564,2,601,950,4186
2015-04-02T09:34:37.868564,2,515,986,4515
2015-04-02T09:34:37.868564,2,407,986,4380
2015-04-02T09:34:37.868564,2,1405,1195,4620
2015-04-02T09:34:37.868564,2,713,1195,4670
2015-04-02T09:34:37.868564,2,1702,1195,5215
2015-04-02T09:34:37.868564,2,1116,1104,4524
2015-04-02T09:34:37.868564,2,502,1104,4494
2015-04-02T09:34:37.868564,0,306,528,3020
2015-04-02T09:34:37.868564,0,516,528,3185
2015-04-02T09:34:37.868564,0,612,587,2960
2015-04-02T09:34:37.868564,0,1012,587,3220
2015-04-02T09:34:37.868564,0,712,587,3145
2015-04-02T19:49:18.039527,1,512,636,3289
2015-04-02T19:49:18.039527,1,1604,750,3735
2015-04-02T19:49:18.039527,1,513,716,3517
2015-04-02T19:49:18.039527,2,1704,855,4500
2015-04-02T19:49:18.039527,2,911,946,4040
2015-04-02T19:49:18.039527,2,1601,950,4671
2015-04-02T19:49:18.039527,2,401,950,4146
2015-04-02T19:49:18.039527,2,501,950,4316
2015-04-02T19:49:18.039527,2,601,950,4186
2015-04-02T19:49:18.039527,2,515,986,4515
2015-04-02T19:49:18.039527,2,407,986,4380
2015-04-02T19:49:18.039527,2,1405,1195,4620
2015-04-02T19:49:18.039527,2,713,1195,4670
2015-04-02T19:49:18.039527,2,1702,1195,5215
2015-04-02T19:49:18.039527,2,1116,1104,4524
2015-04-02T19:49:18.039527,2,502,1104,4494
2015-04-02T19:49:18.039527,0,306,528,3020
2015-04-02T19:49:18.039527,0,516,528,3185
2015-04-02T19:49:18.039527,0,612,587,2960
2015-04-02T19:49:18.039527,0,1012,587,3220
2015-04-02T19:49:18.039527,0,712,587,3145
2015-04-04T01:20:17.141330,1,512,636,3289
2015-04-04T01:20:17.141330,1,1604,750,3670
2015-04-04T01:20:17.141330,2,1704,855,4450
2015-04-04T01:20:17.141330,2,911,946,3995
2015-04-04T01:20:17.141330,2,1601,950,4621
2015-04-04T01:20:17.141330,2,401,950,4101
2015-04-04T01:20:17.141330,2,501,950,4271
2015-04-04T01:20:17.141330,2,601,950,4146
2015-04-04T01:20:17.141330,2,515,986,4475
2015-04-04T01:20:17.141330,2,407,986,4355
2015-04-04T01:20:17.141330,2,1405,1195,4570
2015-04-04T01:20:17.141330,2,713,1195,4620
2015-04-04T01:20:17.141330,2,1702,1195,5175
2015-04-04T01:20:17.141330,2,1116,1104,4474
2015-04-04T01:20:17.141330,2,502,1104,4454
2015-04-04T01:20:17.141330,0,306,528,2970
2015-04-04T01:20:17.141330,0,516,528,3175
2015-04-04T01:20:17.141330,0,612,587,2910
2015-04-04T01:20:17.141330,0,1012,587,3205
2015-04-04T01:20:17.141330,0,712,587,3140
2015-04-04T11:00:06.211083,1,512,636,3289
2015-04-04T11:00:06.211083,1,1604,750,3670
2015-04-04T11:00:06.211083,2,1704,855,4450
2015-04-04T11:00:06.211083,2,911,946,3995
2015-04-04T11:00:06.211083,2,1601,950,4621
2015-04-04T11:00:06.211083,2,401,950,4101
2015-04-04T11:00:06.211083,2,501,950,4271
2015-04-04T11:00:06.211083,2,601,950,4146
2015-04-04T11:00:06.211083,2,515,986,4475
2015-04-04T11:00:06.211083,2,407,986,4355
2015-04-04T11:00:06.211083,2,1405,1195,4570
2015-04-04T11:00:06.211083,2,713,1195,4620
2015-04-04T11:00:06.211083,2,1702,1195,5175
2015-04-04T11:00:06.211083,2,1116,1104,4474
2015-04-04T11:00:06.211083,2,502,1104,4454
2015-04-04T11:00:06.211083,0,306,528,2970
2015-04-04T11:00:06.211083,0,516,528,3175
2015-04-04T11:00:06.211083,0,612,587,2910
2015-04-04T11:00:06.211083,0,1012,587,3205
2015-04-04T11:00:06.211083,0,712,587,3140